playerName,From,To,Pos,Ht,Wt,birthDate,Colleges
Dale Hamilton,1950,1950,G-F,1-Jun,180,8/16/1919,Franklin College
Dale Schlueter,1969,1978,C,10-Jun,225,11/12/1945,Colorado State
Dale Wilkinson,1985,1985,F,10-Jun,220,3/18/1960,Idaho State University
Dalibor Bagari a ,2001,2003,C,1-Jul,255,2/7/1980,
Dallas Comegys,1988,1989,F,9-Jun,205,8/17/1964,DePaul
Dallas Thornton,1969,1970,G,4-Jun,190,9/1/1946,Kentucky Wesleyan College
Damian Jones,2017,2022,F-C,11-Jun,245,6/30/1995,Vanderbilt
Damian Lillard,2013,2022,G,2-Jun,195,7/15/1990,Weber State
Damien Inglis,2016,2016,F,8-Jun,246,5/20/1995,
Damien Wilkins,2005,2018,F-G,6-Jun,225,1/11/1980,"NC State, Georgia"
Damion James,2011,2014,G-F,7-Jun,225,10/7/1987,Texas
Damion Lee,2018,2022,G,5-Jun,210,10/21/1992,"Drexel, Louisville"
Damir Markota,2007,2007,C,10-Jun,225,12/26/1985,
Damjan Rudea,2015,2017,F,10-Jun,228,6/17/1986,
Damon Jones,1999,2009,G,3-Jun,185,8/25/1976,Houston
Damon Stoudamire,1996,2008,G,10-May,171,9/3/1973,Arizona
Damone Brown,2002,2005,F,9-Jun,200,6/28/1979,Syracuse
Damyean Dotson,2018,2022,G,5-Jun,210,5/6/1994,"Oregon, Houston"
Dan Anderson,1968,1969,C,10-Jun,230,2/15/1943,Augsburg College
Dan Anderson,1975,1976,G,2-Jun,185,1/1/1951,USC
Dan Dickau,2003,2008,G,1-Jun,190,9/16/1978,"Washington, Gonzaga"
Dan Gadzuric,2003,2012,C,11-Jun,240,2/2/1978,UCLA
Dan Godfread,1991,1992,C,10-Jun,250,6/14/1967,University of Evansville
Dan Hester,1971,1971,F,8-Jun,210,11/8/1948,LSU
Dan Issel*,1971,1985,C-F,9-Jun,235,10/25/1948,Kentucky
Dan King,1955,1955,F,6-Jun,220,1/7/1931,Western Kentucky
Dan Kraus,1949,1949,G,1-Jun,195,2/13/1923,Georgetown
Dan Langhi,2001,2004,F,11-Jun,220,11/28/1977,Vanderbilt
Dan Majerle,1989,2002,G-F,6-Jun,215,9/9/1965,Central Michigan University
Dan McClintock,2001,2001,C,1-Jul,270,4/19/1977,Northern Arizona University
Dan O'Sullivan,1991,1996,C,10-Jun,250,3/3/1968,Fordham
Dan Roundfield,1976,1987,F-C,8-Jun,205,5/26/1953,Central Michigan University
Dan Swartz,1963,1963,F,4-Jun,215,12/23/1934,Morehead State University
Dan Tieman,1963,1963,G,1-Jun,185,11/30/1940,Thomas More College
Dana Barros,1990,2004,G,11-May,163,4/13/1967,Boston College
Dana Pagett,1972,1972,G,2-Jun,180,3/29/1949,USC
Dane Suttle,1984,1985,G,3-Jun,190,8/9/1961,Pepperdine
D'Angelo Russell,2016,2022,G,4-Jun,193,2/23/1996,Ohio State
Daniel Ewing,2006,2007,G,3-Jun,185,3/26/1983,Duke
Daniel Gafford,2020,2022,F,10-Jun,234,10/1/1998,Arkansas
Daniel Gibson,2007,2013,G,2-Jun,190,2/27/1986,Texas
Daniel Hamilton,2018,2019,G-F,7-Jun,195,8/8/1995,UConn
Daniel Ochefu,2017,2017,C,11-Jun,245,12/15/1993,Villanova
Daniel Orton,2012,2014,C-F,10-Jun,255,8/6/1990,Kentucky
Daniel Oturu,2021,2022,F-C,8-Jun,240,9/20/1999,Minnesota
Daniel Santiago,2001,2005,C,1-Jul,256,6/24/1976,"New Mexico, Saint Vincent College"
Daniel Sparks,1969,1970,F,8-Jun,200,4/17/1945,"Vincennes University, Weber State"
Daniel Theis,2018,2022,C,8-Jun,245,4/4/1992,
Danilo Gallinari,2009,2022,F,10-Jun,233,8/8/1988,
Danny Ainge,1982,1995,G,4-Jun,175,3/17/1959,BYU
Danny Doyle,1963,1963,F,8-Jun,200,2/6/1940,Belmont Abbey College
Danny Ferry,1991,2003,F,10-Jun,230,10/17/1966,Duke
Danny Finn,1953,1955,G,1-Jun,185,5/29/1928,St. John's
Danny Fortson,1998,2007,F,7-Jun,260,3/27/1976,Cincinnati
Danny Granger,2006,2015,F,9-Jun,222,4/20/1983,"Bradley, New Mexico"
Danny Green,2010,2022,G-F,6-Jun,215,6/22/1987,UNC
Danny Manning,1989,2003,F-C,10-Jun,230,5/17/1966,Kansas
Danny Schayes,1982,1999,C-F,11-Jun,235,5/10/1959,Syracuse
Danny Vranes,1982,1988,F,7-Jun,210,10/29/1958,Utah
Danny Wagner,1950,1950,G,1-Jun,170,8/1/1922,Texas
Danny Young,1985,1995,G,3-Jun,175,7/26/1962,Wake Forest
Dante Cunningham,2010,2019,F,8-Jun,230,4/22/1987,Villanova
Dante Exum,2015,2021,G,5-Jun,214,7/13/1995,
Danuel House Jr.,2017,2022,G,6-Jun,220,6/7/1993,Texas A&M
DaQuan Jeffries,2020,2022,G-F,5-Jun,230,8/30/1997,"Oral Roberts, Tulsa"
Darel Carrier,1968,1973,G,3-Jun,185,10/26/1940,Western Kentucky
Darington Hobson,2012,2012,G,7-Jun,210,9/29/1987,New Mexico
Dario a†ari a ,2017,2021,F-C,10-Jun,225,4/8/1994,
Darius Bazley,2020,2022,F,8-Jun,208,6/12/2000,
Darius Garland,2020,2022,G,1-Jun,192,1/26/2000,Vanderbilt
Darius Johnson-Odom,2013,2014,G,2-Jun,215,9/28/1989,Marquette
Darius Miles,2001,2009,F,9-Jun,210,10/9/1981,
Darius Miller,2013,2021,F,6-Jun,225,3/21/1990,Kentucky
Darius Morris,2012,2015,G,4-Jun,190,1/3/1991,Michigan
Darius Songaila,2004,2011,F,9-Jun,248,2/14/1978,Wake Forest
Darius Washington,2008,2008,G,2-Jun,195,12/6/1985,Memphis
Darko Mili açi a ,2004,2013,F-C,1-Jul,250,6/20/1985,
Darnell Hillman,1972,1980,F-C,9-Jun,215,8/29/1949,San Jose State
Darnell Jackson,2009,2011,F,9-Jun,253,11/7/1985,Kansas
Darnell Mee,1994,1995,G,5-Jun,175,2/11/1971,Western Kentucky
Darnell Valentine,1982,1991,G,1-Jun,183,2/3/1959,Kansas
Darrall Imhoff,1961,1972,C,10-Jun,220,10/11/1938,California
Darrel Brown,1949,1949,F,2-Jun,175,3/14/1923,Humboldt State University
Darrell Allums,1981,1981,F,9-Jun,220,9/12/1958,UCLA
Darrell Armstrong,1995,2008,G,1-Jun,170,6/22/1968,Fayetteville State University
Darrell Arthur,2009,2018,F,9-Jun,235,3/25/1988,Kansas
Darrell Elston,1975,1977,G,4-Jun,190,8/15/1952,UNC
Darrell Griffith,1981,1991,G,4-Jun,190,6/16/1958,Louisville
Darrell Hardy,1968,1968,F,7-Jun,220,,Baylor
Darrell Lockhart,1984,1984,C,9-Jun,245,9/14/1960,Auburn
Darrell Walker,1984,1993,G,4-Jun,180,3/9/1961,Arkansas
Darren Collison,2010,2022,G,1-Jun,175,8/23/1987,UCLA
Darren Daye,1984,1988,F-G,8-Jun,220,11/30/1960,UCLA
Darren Morningstar,1994,1994,C,10-Jun,235,4/22/1969,"United States Naval Academy, Pitt"
Darren Tillis,1983,1984,C-F,11-Jun,215,2/23/1960,Cleveland State University
Darrick Martin,1995,2008,G,11-May,170,3/6/1971,UCLA
Darrin Hancock,1995,1997,G-F,7-Jun,205,11/3/1971,Kansas
Darrun Hilliard,2016,2018,G,6-Jun,205,4/13/1993,Villanova
Darryl Dawkins,1976,1989,C,11-Jun,251,1/11/1957,
Darryl Johnson,1996,1996,G,1-Jun,170,10/26/1965,Michigan State
Darryl Watkins,2008,2012,C,11-Jun,258,11/8/1984,Syracuse
Darvin Ham,1997,2005,F,7-Jun,220,7/23/1973,Texas Tech
Darwin Cook,1981,1989,G,3-Jun,184,8/6/1958,University of Portland
Daryl Macon,2019,2020,G,2-Jun,185,11/29/1995,Arkansas
Dave Batton,1983,1984,C,10-Jun,240,3/26/1956,Notre Dame
Dave Bing*,1967,1978,G,3-Jun,180,11/24/1943,Syracuse
Dave Britton,1981,1981,G,4-Jun,180,8/29/1958,Texas A&M
Dave Budd,1961,1965,F,6-Jun,205,10/28/1938,Wake Forest
Dave Corzine,1979,1991,C,11-Jun,250,4/25/1956,DePaul
Dave Cowens*,1971,1983,C-F,9-Jun,230,10/25/1948,Florida State
Dave DeBusschere*,1963,1974,F-G,6-Jun,220,10/16/1940,Detroit Mercy
Dave Deutsch,1967,1967,G,1-Jun,170,5/13/1945,University of Rochester
Dave Fedor,1963,1963,F,6-Jun,190,12/10/1940,Florida State
Dave Feitl,1987,1992,C,11-Jun,235,6/8/1962,Texas-El Paso
Dave Gambee,1959,1970,F,6-Jun,215,4/16/1937,Oregon State
Dave Greenwood,1980,1991,F-C,9-Jun,222,5/27/1957,UCLA
Dave Gunther,1963,1963,F,7-Jun,190,7/22/1937,Iowa
Dave Henderson,1988,1988,G,5-Jun,195,7/21/1964,Duke
Dave Hoppen,1988,1993,C-F,11-Jun,235,3/13/1964,Nebraska
Dave Jamerson,1991,1994,G-F,5-Jun,190,8/13/1967,Ohio University
Dave Johnson,1993,1994,G-F,7-Jun,210,11/16/1970,Syracuse
Dave Lattin,1968,1973,F-C,6-Jun,225,12/23/1943,Texas-El Paso
Dave Magley,1983,1983,F,8-Jun,202,11/24/1959,Kansas
Dave Meyers,1976,1980,F-C,8-Jun,215,4/21/1953,UCLA
Dave Minor,1952,1953,G-F,2-Jun,185,2/23/1922,UCLA
Dave Newmark,1969,1971,C,1-Jul,240,9/11/1946,Columbia University
Dave Piontek,1957,1963,F-C,6-Jun,230,8/27/1934,Xavier
Dave Popson,1989,1992,F-C,10-Jun,220,5/17/1964,UNC
Dave Robisch,1972,1984,C-F,10-Jun,235,12/22/1949,Kansas
Dave Schellhase,1967,1968,G,3-Jun,205,10/14/1944,Purdue
Dave Scholz,1970,1970,F,8-Jun,220,4/12/1948,Illinois
Dave Sorenson,1971,1973,F,8-Jun,225,7/8/1948,Ohio State
Dave Stallworth,1966,1975,F-C,7-Jun,200,12/20/1941,Wichita State
Dave Twardzik,1973,1980,G,1-Jun,175,9/20/1950,Old Dominion
Dave Wohl,1972,1978,G,2-Jun,185,11/2/1949,Penn
Dave Zeller,1962,1962,G,1-Jun,175,6/8/1939,Miami University
David Andersen,2010,2011,C,11-Jun,245,6/23/1980,
David Benoit,1992,2001,F,8-Jun,220,5/9/1968,Alabama
David Burns,1982,1982,G,2-Jun,180,7/3/1958,Saint Louis
David Bustion,1973,1973,F,8-Jun,215,8/30/1949,Denver
David Cooke,1986,1986,F,8-Jun,230,9/27/1963,Saint Mary's
David Duke Jr.,2022,2022,G,5-Jun,205,10/13/1999,Providence
David Harrison,2005,2008,C,1-Jul,280,8/15/1982,Colorado
David Johnson,2022,2022,G,5-Jun,210,2/26/2001,Louisville
David Lee,1968,1969,F,7-Jun,225,3/31/1942,San Francisco
David Lee,2006,2017,F,9-Jun,245,4/29/1983,Florida
David Noel,2007,2007,F,6-Jun,230,2/27/1984,UNC
David Nwaba,2017,2022,G,5-Jun,219,1/14/1993,Cal Poly
David Pope,1985,1986,F,7-Jun,220,4/15/1962,Norfolk State
David Rivers,1989,1992,G,1-Jun,170,1/20/1965,Notre Dame
David Robinson*,1990,2003,C,1-Jul,235,8/6/1965,United States Naval Academy
David Stockton,2015,2018,G,11-May,165,6/24/1991,Gonzaga
David Thirdkill,1983,1987,F-G,7-Jun,195,4/12/1960,Bradley
David Thompson*,1976,1984,G-F,4-Jun,195,7/13/1954,NC State
David Vanterpool,2001,2001,G,5-Jun,200,3/31/1973,St. Bonaventure
David Vaughn,1975,1976,C,11-Jun,220,6/4/1952,Oral Roberts
David Vaughn,1996,1999,F,9-Jun,240,3/23/1973,Memphis
David Wear,2015,2015,F,10-Jun,230,9/21/1990,"UNC, UCLA"
David Wesley,1994,2007,G,1-Jun,190,11/14/1970,Baylor
David West,2004,2018,F-C,9-Jun,250,8/29/1980,Xavier
David Wingate,1987,2001,G-F,5-Jun,185,12/15/1963,Georgetown
David Wood,1989,1997,F,9-Jun,227,11/30/1964,Nevada
Davion Mitchell,2022,2022,G,2-Jun,205,9/5/1998,"Auburn, Baylor"
Davon Reed,2018,2022,G,5-Jun,208,6/11/1995,Miami (FL)
Day'Ron Sharpe,2022,2022,C,11-Jun,265,11/6/2001,UNC
De'Aaron Fox,2018,2022,G,3-Jun,185,12/20/1997,Kentucky
Dean Garrett,1997,2002,C,10-Jun,225,11/27/1966,Indiana
Dean Meminger,1972,1977,G,1-Jun,175,5/13/1948,Marquette
Dean Oliver,2002,2003,G,11-May,180,11/5/1978,Iowa
Dean Tolson,1975,1978,F,8-Jun,190,11/25/1951,Arkansas
Dean Wade,2020,2022,F,9-Jun,228,11/20/1996,Kansas State
Deandre Ayton,2019,2022,C,11-Jun,250,7/23/1998,Arizona
DeAndre' Bembry,2017,2022,F,5-Jun,210,7/4/1994,Saint Joseph's
De'Andre Hunter,2020,2022,F,8-Jun,225,12/2/1997,Virginia
DeAndre Jordan,2009,2022,C,11-Jun,265,7/21/1988,Texas A&M
DeAndre Liggins,2012,2018,G,6-Jun,209,3/31/1988,Kentucky
De'Anthony Melton,2019,2022,G,2-Jun,200,5/28/1998,USC
Deb Smith,1947,1947,F,3-Jun,180,1/7/1920,Utah
Dedric Willoughby,2000,2000,G-F,3-Jun,180,5/27/1974,"New Orleans, Iowa State"
Dee Brown,1991,2002,G,1-Jun,160,11/29/1968,Jacksonville University
Dee Brown,2007,2009,G,1-Jun,185,8/17/1984,Illinois
Dee Gibson,1950,1950,F-G,11-May,175,8/25/1923,Western Kentucky
Deividas Sirvydis,2021,2022,G-F,8-Jun,190,6/10/2000,
DeJon Jarreau,2022,2022,G,5-Jun,185,1/23/1998,"UMass, Houston"
Dejounte Murray,2017,2022,G,4-Jun,180,9/19/1996,Washington
DeJuan Blair,2010,2016,F-C,7-Jun,270,4/22/1989,Pitt
DeJuan Wheat,1998,1999,G,1-Jun,165,10/14/1973,Louisville
Del Beshore,1979,1980,G,11-May,165,11/29/1956,California University of Pennslyvania
Delaney Rudd,1990,1993,G,2-Jun,180,11/8/1962,Wake Forest
Dell Curry,1987,2002,G,4-Jun,190,6/25/1964,Virginia Tech
Dell Demps,1994,1997,G,3-Jun,205,2/12/1970,University of the Pacific
Delon Wright,2016,2022,G,5-Jun,185,4/26/1992,Utah
Delonte West,2005,2012,G,4-Jun,180,7/26/1983,Saint Joseph's
DeMar DeRozan,2010,2022,G-F,6-Jun,220,8/7/1989,USC
DeMarco Johnson,2000,2000,F,9-Jun,245,10/6/1975,UNC Charlotte
DeMarcus Cousins,2011,2022,C-F,10-Jun,270,8/13/1990,Kentucky
DeMarcus Nelson,2009,2009,G,4-Jun,200,11/2/1985,Duke
DeMarre Carroll,2010,2020,F,6-Jun,215,7/27/1986,"Vanderbilt, Missouri"
Demetris Nichols,2008,2009,F,8-Jun,216,9/4/1984,Syracuse
Demetrius Calip,1992,1992,G,1-Jun,165,11/18/1969,Michigan
Demetrius Jackson,2017,2019,G,1-Jun,201,9/7/1994,Notre Dame
Deng Adel,2019,2019,F,7-Jun,200,2/1/1997,Louisville
Deng Gai,2006,2006,F,9-Jun,250,3/22/1982,Fairfield
Deni Avdija,2021,2022,G-F,9-Jun,210,1/3/2001,
Dennis Awtrey,1971,1982,C,10-Jun,235,2/22/1948,Santa Clara
Dennis Bell,1974,1976,F,5-Jun,185,6/2/1951,Drake University
Dennis Boyd,1979,1979,G,1-Jun,175,5/21/1954,Detroit Mercy
Dennis DuVal,1975,1976,G,3-Jun,175,3/31/1952,Syracuse
Dennis Grey,1969,1970,C-F,8-Jun,215,8/26/1947,California Western Uiversity
Dennis Hamilton,1968,1971,F,8-Jun,210,5/8/1944,Arizona State
Dennis Holman,1968,1968,G,3-Jun,175,10/8/1945,SMU
Dennis Hopson,1988,1992,G-F,5-Jun,200,4/22/1965,Ohio State
Dennis Horner,2012,2012,F,9-Jun,230,2/5/1988,NC State
Dennis Johnson*,1977,1990,G,4-Jun,185,9/18/1954,Pepperdine
Dennis Nutt,1987,1987,G,2-Jun,170,3/25/1963,TCU
Dennis Rodman*,1987,2000,F,7-Jun,210,5/13/1961,Southeastern Oklahoma State University
Dennis Schr ader,2014,2022,G,3-Jun,172,9/15/1993,
Dennis Scott,1991,2000,F,8-Jun,229,9/5/1968,Georgia Tech
Dennis Smith Jr.,2018,2022,G,2-Jun,205,11/25/1997,NC State
Dennis Stewart,1971,1971,F,6-Jun,220,4/11/1947,Michigan
Dennis Van Zant,1976,1976,F,9-Jun,210,6/1/1952,Azusa Pacific University
Dennis Wuycik,1973,1975,F,6-Jun,215,3/29/1950,UNC
Denzel Valentine,2017,2022,G,4-Jun,220,11/16/1993,Michigan State
Deonte Burton,2019,2020,G,4-Jun,240,1/31/1994,"Marquette, Iowa State"
DeQuan Jones,2013,2013,F,8-Jun,221,6/20/1990,Miami (FL)
Derek Anderson,1998,2008,G,5-Jun,194,7/18/1974,"Ohio State, Kentucky"
Derek Fisher,1997,2014,G,1-Jun,200,8/9/1974,Little Rock
Derek Grimm,1998,1998,F,9-Jun,230,8/3/1974,Missouri
Derek Harper,1984,1999,G,4-Jun,185,10/13/1961,Illinois
Derek Hood,2000,2000,F,8-Jun,222,12/22/1976,Arkansas
Derek Smith,1983,1991,G-F,6-Jun,205,11/1/1961,Louisville
Derek Strong,1992,2001,F,8-Jun,220,2/9/1968,Xavier
DerMarr Johnson,2001,2008,F,9-Jun,201,5/5/1980,Cincinnati
Dermie O'Connell,1949,1950,G,1-Jun,174,4/13/1928,Holy Cross
Deron Williams,2006,2017,G,3-Jun,200,6/26/1984,Illinois
Derrek Dickey,1974,1978,F,7-Jun,218,3/20/1951,Cincinnati
Derrick Alston,1995,1997,F,11-Jun,225,8/20/1972,Duquesne
Derrick Brown,2010,2012,F,7-Jun,225,9/8/1987,Xavier
Derrick Byars,2012,2012,F,7-Jun,220,4/25/1984,"Virginia, Vanderbilt"
Derrick Caracter,2011,2011,F,9-Jun,275,5/4/1988,"Louisville, Texas-El Paso"
Derrick Chievous,1989,1991,F,7-Jun,195,7/3/1967,Missouri
Derrick Coleman,1991,2005,F-C,10-Jun,230,6/21/1967,Syracuse
Derrick Dial,2000,2004,G,4-Jun,184,12/20/1975,Eastern Michigan
Derrick Favors,2011,2022,F-C,9-Jun,265,7/15/1991,Georgia Tech
Derrick Gervin,1990,1991,F,8-Jun,200,3/28/1963,Texas-San Antonio
Derrick Jones Jr.,2017,2022,F,5-Jun,210,2/15/1997,UNLV
Derrick McKey,1988,2002,F-C,9-Jun,205,10/10/1966,Alabama
Derrick Phelps,1995,1995,G,4-Jun,181,7/31/1972,UNC
Derrick Rose,2009,2022,G,2-Jun,200,10/4/1988,Memphis
Derrick Rowland,1986,1986,G,5-Jun,195,6/21/1959,State University of New York at Potsdam
Derrick Walton,2018,2022,G,1-Jun,189,4/3/1995,Michigan
Derrick White,2018,2022,G,4-Jun,190,7/2/1994,"Colorado-Colorado Springs, Colorado"
Derrick Williams,2012,2018,F,8-Jun,240,5/25/1991,Arizona
Derrick Zimmerman,2006,2006,G,3-Jun,195,12/2/1981,Mississippi State
DeSagana Diop,2002,2013,C,1-Jul,300,1/30/1982,
DeShawn Stevenson,2001,2013,G,5-Jun,210,4/3/1981,
Desmon Farmer,2007,2009,G,5-Jun,220,10/7/1981,USC
Desmond Bane,2021,2022,G,5-Jun,215,6/25/1998,TCU
Desmond Ferguson,2004,2004,G-F,7-Jun,203,7/22/1977,"Missouri, Detroit Mercy"
Desmond Mason,2001,2010,F,7-Jun,224,10/11/1977,Oklahoma State
Desmond Penigar,2004,2004,F,7-Jun,245,7/16/1981,Utah State University
Detlef Schrempf,1986,2001,F-C,10-Jun,235,1/21/1963,Washington
DeVaughn Akoon-Purcell,2019,2019,G,6-Jun,200,6/5/1993,Illinois State
Devean George,2000,2010,G-F,8-Jun,220,8/29/1977,Augsburg College
Devin Booker,2016,2022,G,5-Jun,206,10/30/1996,Kentucky
Devin Brown,2003,2010,G,5-Jun,220,12/30/1978,Texas-San Antonio
Devin Cannady,2021,2021,G,2-Jun,183,5/21/1996,Princeton
Devin Durrant,1985,1986,F,7-Jun,200,10/20/1960,BYU
Devin Ebanks,2011,2013,F,9-Jun,215,10/28/1989,West Virginia
Devin Gray,1997,2000,F,7-Jun,240,5/31/1972,Clemson
Devin Green,2006,2006,G,7-Jun,210,10/25/1982,Hampton
Devin Harris,2005,2019,G,3-Jun,185,2/27/1983,Wisconsin
Devin Robinson,2018,2019,F,8-Jun,200,3/7/1995,Florida
Devin Vassell,2021,2022,G-F,5-Jun,200,8/23/2000,Florida State
Devon Dotson,2021,2022,G,2-Jun,185,8/2/1999,Kansas
Devon Hall,2020,2020,G,2-Jun,215,7/7/1995,Virginia
Devontae Cacok,2020,2022,F,7-Jun,240,10/8/1996,UNC Wilmington
Devonte' Graham,2019,2022,G,1-Jun,195,2/22/1995,Kansas
Devyn Marble,2015,2016,G-F,6-Jun,200,9/21/1992,Iowa
Dewan Hernandez,2020,2020,F,10-Jun,235,12/9/1996,Miami (FL)
Dewayne Dedmon,2014,2022,C,1-Jul,245,8/12/1989,USC
DeWayne Scales,1981,1984,F,8-Jun,208,12/28/1958,LSU
Dewitt Menyard,1968,1968,C,10-Jun,210,5/24/1944,Utah
Dexter Boney,1997,1997,G,4-Jun,185,4/27/1970,UNLV
Dexter Cambridge,1993,1993,F,7-Jun,224,1/29/1970,Texas
Dexter Pittman,2011,2014,C,11-Jun,308,3/2/1988,Texas
Dexter Shouse,1990,1990,G,2-Jun,200,3/24/1963,University of South Alabama
Dexter Westbrook,1968,1968,F,8-Jun,190,,Providence
Deyonta Davis,2017,2019,C-F,11-Jun,237,12/2/1996,Michigan State
Diamond Stone,2017,2017,C,11-Jun,255,2/10/1997,Maryland
Diante Garrett,2013,2014,G,4-Jun,190,11/3/1988,Iowa State
Dick Atha,1956,1958,G,2-Jun,190,9/21/1931,Indiana State University
Dick Barnett,1960,1974,G-F,4-Jun,190,10/2/1936,Tennessee State
Dick Bunt,1953,1953,G,1-Jun,170,7/13/1930,NYU
Dick Cunningham,1969,1975,C,10-Jun,245,7/11/1946,Murray State
Dick Dickey,1952,1952,G,1-Jun,175,10/26/1926,NC State
Dick Duckett,1958,1958,G,1-Jun,185,3/25/1933,St. John's
Dick Farley,1955,1959,G-F,4-Jun,190,4/13/1932,Indiana
Dick Fitzgerald,1947,1948,F,2-Jun,175,11/18/1920,Fordham
Dick Garmaker,1956,1961,G-F,3-Jun,200,10/29/1932,Minnesota
Dick Garrett,1970,1974,G,3-Jun,185,1/31/1947,Southern Illinois
Dick Gibbs,1972,1976,F-G,5-Jun,210,12/20/1948,Texas-El Paso
Dick Groat,1953,1953,G,11-May,180,11/4/1930,Duke
Dick Grubar,1970,1970,G,4-Jun,184,7/26/1947,UNC
Dick Hemric,1956,1957,F,6-Jun,220,8/29/1933,Wake Forest
Dick Holub,1948,1948,C,6-Jun,205,10/29/1921,Long Island University
Dick Knostman,1954,1954,C,6-Jun,215,8/9/1931,Kansas State
Dick Lee,1968,1968,F,6-Jun,,,Washington
Dick McGuire*,1950,1960,G,1-Jun,180,1/25/1926,St. John's
Dick Mehen,1950,1952,F-C,5-Jun,195,5/20/1922,Tennessee
Dick Miller,1981,1981,F,6-Jun,215,4/26/1958,Toledo
Dick Murphy,1947,1947,G,1-Jun,175,3/10/1921,Manhattan College
Dick Nemelka,1971,1971,G,1-Jun,175,10/1/1943,BYU
Dick O'Keefe,1948,1951,G-F,2-Jun,185,9/29/1923,Santa Clara
Dick Ricketts,1956,1958,F-C,7-Jun,215,12/4/1933,Duquesne
Dick Rosenthal,1955,1957,F-G,5-Jun,205,1/20/1930,Notre Dame
Dick Schnittker,1951,1958,F,5-Jun,200,5/27/1928,Ohio State
Dick Schulz,1947,1950,F-G,2-Jun,192,1/3/1917,Wisconsin
Dick Shrider,1949,1949,G,2-Jun,190,2/7/1923,Ohio University
Dick Snyder,1967,1979,G-F,5-Jun,207,2/1/1944,Davidson
Dick Surhoff,1953,1954,F,4-Jun,210,11/16/1929,Long Island University
Dick Triptow,1949,1950,G-F,1-Jun,170,11/3/1922,DePaul
Dick Van Arsdale,1966,1977,G-F,5-Jun,210,2/22/1943,Indiana
Dick Wehr,1949,1949,F,4-Jun,180,12/9/1925,Rice University
Dickey Simpkins,1995,2002,F,9-Jun,248,4/6/1972,Providence
Didi Louzada,2021,2022,G,5-Jun,188,2/7/1999,
Dijon Thompson,2006,2007,G-F,7-Jun,195,2/23/1983,UCLA
Dike Eddleman,1950,1953,F-G,3-Jun,189,12/27/1922,Illinois
Dikembe Mutombo*,1992,2009,C,2-Jul,245,6/25/1966,Georgetown
Dillard Crocker,1949,1953,F-G,4-Jun,205,1/19/1925,Western Michigan
Dillon Brooks,2018,2022,F-G,7-Jun,225,1/22/1996,Oregon
Dino Martin,1947,1948,G,8-May,160,5/25/1920,Georgetown
Dino Radja*,1994,1997,F-C,11-Jun,225,4/24/1967,
Dion Glover,2000,2005,G,5-Jun,228,10/22/1978,Georgia Tech
Dion Waiters,2013,2020,G,3-Jun,215,12/10/1991,Syracuse
Dionte Christmas,2014,2014,G,5-Jun,205,9/15/1986,Temple
Dirk Minniefield,1986,1988,G,3-Jun,180,1/17/1961,Kentucky
Dirk Nowitzki,1999,2019,F,1-Jul,245,6/19/1978,
Doc Rivers,1984,1996,G,4-Jun,185,10/13/1961,Marquette
Dolph Schayes*,1950,1964,F-C,8-Jun,220,5/19/1928,NYU
Domantas Sabonis,2017,2022,F-C,11-Jun,240,5/3/1996,Gonzaga
Dominic McGuire,2008,2013,F,9-Jun,220,10/20/1985,"California, Fresno State"
Dominic Pressley,1989,1989,G,2-Jun,170,5/30/1964,Boston College
Dominique Jones,2011,2013,G,4-Jun,215,10/15/1988,South Florida
Dominique Wilkins*,1983,1999,F-G,8-Jun,215,1/12/1960,Georgia
Don Ackerman,1954,1954,G,1-Jun,183,9/4/1930,Long Island University
Don Adams,1971,1977,F,6-Jun,210,11/27/1947,Northwestern
Don Anielak,1955,1955,F,7-Jun,190,11/1/1930,Missouri State
Don Asmonga,1954,1954,G,2-Jun,185,2/15/1928,Alliance College
Don Barksdale*,1952,1955,F-C,6-Jun,200,3/31/1923,UCLA
Don Bielke,1956,1956,C,7-Jun,240,5/10/1932,Valparaiso
Don Boven,1950,1953,F-G,4-Jun,210,3/6/1925,Western Michigan
Don Buse,1973,1985,G,4-Jun,190,8/10/1950,University of Evansville
Don Carlos,1969,1969,G-F,5-Jun,210,3/3/1944,Otterbein College
Don Carlson,1947,1951,G-F,1-Jun,170,3/22/1919,Minnesota
Don Chaney,1969,1980,G,5-Jun,210,3/22/1946,Houston
Don Collins,1981,1987,F-G,6-Jun,190,11/28/1958,Washington State
Don Dee,1969,1969,F,8-Jun,210,8/9/1943,Saint Mary of the Plains College
Don Eliason,1947,1947,F,2-Jun,210,7/24/1918,Hamline University
Don Ford,1976,1982,F,9-Jun,215,12/31/1952,"New Mexico, UC Santa Barbara"
Don Grate,1950,1950,F-G,2-Jun,185,8/27/1923,Ohio State
Don Hanrahan,1953,1953,F,7-Jun,200,2/6/1929,Loyola Chicago
Don Henriksen,1953,1955,F-C,7-Jun,225,10/10/1929,California
Don Kojis,1964,1975,F,5-Jun,215,1/15/1939,Marquette
Don Lofgran,1951,1954,F-C,5-Jun,200,11/8/1929,San Francisco
Don MacLean,1993,2001,F,10-Jun,235,1/16/1970,UCLA
Don Martin,1947,1949,C-F,7-Jun,210,2/7/1920,Central Missouri State University
Don May,1969,1975,F,4-Jun,200,1/3/1946,Dayton
Don Nelson*,1963,1976,F,6-Jun,210,5/15/1940,Iowa
Don Ohl,1961,1970,G,3-Jun,190,4/18/1936,Illinois
